location,description,secs,category,CDNumber,CDName,tracknum
07076051.wav,"Two-stroke petrol engine driving small elevator, start, run, stop.",194,Engines: Petrol,EC117D,Diesel & Petrol Engines,4
07076050.wav,"Single-cylinder Petter engine, start, run stop. (1 1/2 h.p.)",194,Engines: Diesel,EC117D,Diesel & Petrol Engines,1
07076049.wav,"Start, constant run with engine driving small compressor, stop. (2 1/4 h.p. 4-stroke)",200,Engines: Petrol,EC117D,Diesel & Petrol Engines,3
07076048.wav,"Two false starts, constant run, stop. (2 1/4 h.p. 4-stroke)",195,Engines: Petrol,EC117D,Diesel & Petrol Engines,2
07076047.wav,An 8 mm projector running at 24 f.p.s.,117,Cine Projectors,EC6C1,Cameras,4
07076046.wav,Automatic threading on 8 mm projector running at 16 f.p.s.,126,Cine Projectors,EC6C1,Cameras,3
07076045.wav,Film running out on 16 mm projector. (24 f.p.s.),17,Cine Projectors,EC6C1,Cameras,2
07076044.wav,A 16 mm projector running at 24 f.p.s.,124,Cine Projectors,EC6C1,Cameras,1
07076043.wav,Multiple shutter click with wind-on of 6 by 6 cm SLR Hasselblad camera.,11,Photography: Cameras,EC6C1,Cameras,10
07076042.wav,Single shutter click with wind-on of 6 by 6 cm SLR Hasselblad camera.,6,Photography: Cameras,EC6C1,Cameras,9
07076041.wav,Three single shutter clicks of 35 mm SLR camera.,8,Photography: Cameras,EC6C1,Cameras,8
07076040.wav,Short burst of shutter clicks with motor drive of 35 mm SLR camera.,6,Photography: Cameras,EC6C1,Cameras,7
07076039.wav,Long burst of shutter clicks with motor drive of 35 mm SLR camera.,8,Photography: Cameras,EC6C1,Cameras,6
07076038.wav,Shutter click and manual wind-on of 35 mm SLR camera.,11,Photography: Cameras,EC6C1,Cameras,5
07076037.wav,"Triple-expansion, constant run, slow down and speed up at 3'45"". (Marine-type steam engine, 1911)",423,Engines: Steam,EC117F,"Marine-Type Steam Engine, 1911",2
07076036.wav,"Triple-expansion, start by donkey engine. (Marine-type steam engine, 1911)",398,Engines: Steam,EC117F,"Marine-Type Steam Engine, 1911",1
07076035.wav,"A milling machine switched on, operates with occasional pauses.",156,Industry: Light,EC57T,Machinery,4
07076034.wav,Machining and tapping machinery operating.,207,Industry: Light,EC57T,Machinery,3
07076033.wav,Shaft orientation machine operating.,159,Industry: Light,EC57T,Machinery,2
07076032.wav,"Drilling and reaming machine operating, with occasional pauses.",173,Industry: Light,EC57T,Machinery,1
07076031.wav,General atmosphere in a busy machine shop with some indistinct speech.,393,Industry: Light,EC57U,Machine Shop,3
07076030.wav,A drilling and milling machine operates with occasional pauses.,289,Industry: Light,EC57U,Machine Shop,2
07076029.wav,Milling machine operating. (Close perspective),83,Industry: Light,EC57U,Machine Shop,1
07076028.wav,"Tropical forest, West Africa at night.",502,Africa: Forest,EC200A,Tropical Forest: West Africa ,2
07076027.wav,"Tropical Forest, West Africa at dawn.",510,Africa: Forest,EC200A,Tropical Forest: West Africa ,1
07076026.wav,Background static to echoes from the moon.,216,Radio: Interference,EC66B,Morse & Static,8
07076025.wav,Keying an Aldis lamp.,63,Morse Code: Aldis lamps,EC66B,Morse & Static,1
07076024.wav,"Keyed morse. (No tone, sound of key being operated)",67,Morse Code,EC66B,Morse & Static,7
07076023.wav,Low-pitched buzzer,63,Morse Code,EC66B,Morse & Static,6
07076022.wav,Medium-pitched buzzer,64,Morse Code,EC66B,Morse & Static,5
07076021.wav,Low-pitched oscillator,64,Morse Code,EC66B,Morse & Static,4
07076020.wav,Medium-pitched oscillator,63,Morse Code,EC66B,Morse & Static,3
07076019.wav,High-pitched oscillator,65,Morse Code,EC66B,Morse & Static,2
07076018.wav,Electronic monotony,191,Electronic Sounds: Monotony,EC66D,Electronic Monotony,3
07076017.wav,Electronic monotony,195,Electronic Sounds: Monotony,EC66D,Electronic Monotony,2
07076016.wav,Electronic monotony.,204,Electronic Sounds: Monotony,EC66D,Electronic Monotony,1
07076015.wav,Sound of radar echoes from the Moon.,200,Radar,EC66D,Electronic Monotony,4
07076013.wav,"Creed transmitter, perforator and receiver operating together.",83,Telegraph Equipment: Morse Code,EC45N,Post Office Telegraph Equipment,5
07076012.wav,Creed receiver operating. (c.1925),154,Telegraph Equipment: Morse Code,EC45N,Post Office Telegraph Equipment,4
07076011.wav,Creed morse printer operating. (c.1925-1930),71,Telegraph Equipment: Morse Code,EC45N,Post Office Telegraph Equipment,3
07076010.wav,Creed transmitter operating. (c.1925),148,Telegraph Equipment: Morse Code,EC45N,Post Office Telegraph Equipment,2
07076009.wav,Creed keyboard perforator operating. (c.1925),131,Telegraph Equipment: Morse Code,EC45N,Post Office Telegraph Equipment,1
07076008.wav,"Hughes printer, with piano type keyboard, operating. (c.1867-1939)",100,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,8
07076007.wav,Wheatstone reciever operating. (c.1870),86,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,7
07076006.wav,Wheatstone transmitter operating. (c.1870),74,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,6
07076005.wav,"Morse perforator and punches operating, used with Wheatstone transmitter and receiver. (c.1870)",88,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,5
07076004.wav,Burgett ABC receiver operating. (c.1850),88,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,4
07076003.wav,"Morse key, transmitting end. (c.1839)",80,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,3
07076002.wav,"Sounder used with morse key, receiving end. (c.1839)",134,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,2
07076001.wav,Cooke's portable 2-needle telegraph operating. (c.1838),40,Telegraph Equipment: Morse Code,EC45M,Post Office Telegraph Equipment,1
07075071.wav,Tipping coal from hopper in a coal mine.,31,Coal Mining,EC165B,Coal Mining,9
07075070.wav,A pit locomotive operating with constant run in a coal mine.,126,Coal Mining,EC165B,Coal Mining,8
07075069.wav,"Lift, gates close, cage descends and gates open.",55,Coal Mining,EC165B,Coal Mining,7
07075068.wav,Lamp room atmosphere in a coal mine.,57,Coal Mining,EC165B,Coal Mining,6
07075067.wav,An agitator belt operating in constant run in a coal mine.,63,Coal Mining,EC165B,Coal Mining,5
07075066.wav,Coal falling down a shute in a coal mine.,118,Coal Mining,EC165B,Coal Mining,4
07075065.wav,Pneumatic coal drill operating in a coal mine. (Distant perspective),52,Coal Mining,EC165B,Coal Mining,3
07075064.wav,Pneumatic coal drill operating in a coal mine. (Close perspective),65,Coal Mining,EC165B,Coal Mining,2
07075063.wav,Miners chatting in pit baths.,91,Coal Mining,EC165B,Coal Mining,1
07075062.wav,Tubs crashing together in a coal mine with occasional pit cage bells.,91,Coal Mining,EC165A,Coal Mining,6
07075061.wav,Tubs being coupled in a coal mine. (Steam locomotive passes at end),124,Coal Mining,EC165A,Coal Mining,5
07075060.wav,Wet shovelling in a coal mine.,131,Coal Mining,EC165A,Coal Mining,4
07075059.wav,Coal falling into a hopper.,55,Coal Mining,EC165A,Coal Mining,3
07075058.wav,Shovelling and distant drilling in a coal mine.,120,Coal Mining,EC165A,Coal Mining,2
07075057.wav,Miners assembling at pit bottom with occasional pit cage gates and bells.,145,Coal Mining,EC165A,Coal Mining,1
07075056.wav,"Bell, end of round, quiet speech at a wrestling match.",14,Wrestling,EC96H,Indoor Wrestling,6
07075055.wav,Applause for throw at a wrestling match.,12,Wrestling,EC96H,Indoor Wrestling,5
07075054.wav,Shouts of encouragement at a wrestling match.,26,Wrestling,EC96H,Indoor Wrestling,4
07075053.wav,"Announcement, bell, wrestling bout begins.",156,Wrestling,EC96H,Indoor Wrestling,3
07075052.wav,Public address announcement and crowd reaction at a wrestling match.,37,Wrestling,EC96H,Indoor Wrestling,2
07075051.wav,General atmosphere with spectators arriving before a wrestling match.,390,Wrestling,EC96H,Indoor Wrestling,1
07075050.wav,"Corliss steam engine, stopping. (Built in 1889, 91 h.p.)",80,Engines: Steam,EC4E3,19Th Century Static Steam Engine,5
07075049.wav,"Corliss steam engine, start up. (Built in 1889, 91 h.p.)",98,Engines: Steam,EC4E3,19Th Century Static Steam Engine,4
07075048.wav,"Corliss steam engine, running. (Built in 1889, 91 h.p.)",184,Engines: Steam,EC4E3,19Th Century Static Steam Engine,3
07075047.wav,"Gear wheels running, driven by steam engine. (No engine noise)",185,Engines: Steam,EC4E3,19Th Century Static Steam Engine,2
07075046.wav,"Single cylinder horizontal steam engine, start, run, stop. (Built in 1851 for the Great Exhibition)",185,Engines: Steam,EC4E3,19Th Century Static Steam Engine,1
07075045.wav,"Large gas/diesel generators, constant run. (Sewage machinery suitable for general use)",184,Engines: Diesel: Gas,EC4E2,Static Engines,4
07075044.wav,"One with start, run, stop. (Sewage machinery suitable for general use)",185,Engines,EC4E2,Static Engines,3
07075043.wav,"One with start, run, stop. (Sewage machinery suitable for general use)",184,Engines,EC4E2,Static Engines,2
07075042.wav,"Several operating, continuous run. (Sewage machinery suitable for general use)",184,Engines,EC4E2,Static Engines,1
07075041.wav,"Operating, constant run. (Refuse machinery suitable for general use)",185,Engines,EC4E1,Static Engines (Constant Runs),2
07075040.wav,"Motor powering a conveyor belt, constant run. (Refuse machinery suitable for general purpose use)",183,Engines: Conveyor,EC4E1,Static Engines (Constant Runs),3
07075039.wav,"One operating, constant run. (Refuse machinery suitable for general use)",185,Pumps: Diesel,EC4E1,Static Engines (Constant Runs),4
07075038.wav,"Dust filtration plant operating, constant run. (Refuse machinery suitable for general use)",184,Engines: Filtration plants,EC4E1,Static Engines (Constant Runs),1
07075037.wav,Heavy line noise on transatlantic circuit. (Static),396,Radio: Interference,EC66E,Static,2
07075036.wav,Static. (Continuous background),395,Radio: Interference,EC66E,Static,1
07075035.wav,"Tag match: PA annct with crowd reaction, bell; bout begins.",332,Wrestling,EC96J,Indoor Wrestling,4
07075034.wav,Laughter and applause after throw at a wrestling match.,33,Wrestling,EC96J,Indoor Wrestling,3
07075033.wav,Animated crowd reaction at a wrestling match.,302,Wrestling,EC96J,Indoor Wrestling,2
07075032.wav,"Good throw and applause, bell into PA and chatter",53,Wrestling,EC96J,Indoor Wrestling,1
07075031.wav,Tuning a communications receiver on the medium-wave band.,216,Radio: Receivers,EC66A,Domestic Radio Effects,4
07075030.wav,VHF receiver with aerial disconnected. (Unintelligible speech and heavy distortion),58,Radio: Receivers,EC66A,Domestic Radio Effects,3
07075029.wav,Tuning VHF receiver.,50,Radio: Receivers,EC66A,Domestic Radio Effects,2
07075028.wav,Severe mains hum and static.,62,Radio: Interference,EC66A,Domestic Radio Effects,6
07075027.wav,Radio interference from electric fence.,64,Radio: Interference,EC66A,Domestic Radio Effects,5
07075026.wav,Tuning small medium-wave receiver.,185,Radio: Receivers,EC66A,Domestic Radio Effects,1
07075025.wav,An electric centrifugal pump operating with start and stop. (Sewage pump),143,Pumps: Electric,EC117A,Sewage Pumps (All With Start & Stop),1
07075024.wav,"Ingersoil Rand compressor pump operating with start and stop. (Sewage pump, 1896, with belt-drive)",140,Pumps: Engines: Compressors,EC117A,Sewage Pumps (All With Start & Stop),6
07075023.wav,Single cylinder compressor pump operating with start and stop. (Sewage pump with belt drive),154,Pumps: Engines: Compressors,EC117A,Sewage Pumps (All With Start & Stop),5
07075022.wav,Single five inch pump operating with start and stop. (Sewage pump),129,Pumps: Engines,EC117A,Sewage Pumps (All With Start & Stop),2
07075021.wav,Three fourteen inch diesel pumps operating with start and stop. (Sewage pumps),126,Pumps: Engines,EC117A,Sewage Pumps (All With Start & Stop),4
07075020.wav,Single 14 inch diesel pump operating with start and stop. (Sewage pump),136,Pumps: Engines,EC117A,Sewage Pumps (All With Start & Stop),3
07075019.wav,"Ingersoil Rand air compressor, slow down and stop. (1900)",12,Pumps: Engines: Compressors,EC117E,Static Diesel Engines,7
07075018.wav,"Ingersoil Rand air compressor, start and run. (1900)",148,Pumps: Engines: Compressors,EC117E,Static Diesel Engines,6
07075017.wav,"Ruston Hornsey YEX 6 pumping engines, slow down and stop.",19,Pumps: Diesel,EC117E,Static Diesel Engines,5
07075016.wav,"Ruston Hornsey YEX 6 pumping engines, start and run",135,Pumps: Diesel,EC117E,Static Diesel Engines,4
07075015.wav,"Ruston Hornsey YEX 6 pumping engine, slow down and stop.",18,Pumps: Diesel,EC117E,Static Diesel Engines,3
07075014.wav,"Ruston Hornsey YEX 6 pumping engine, start and run.",120,Pumps: Diesel,EC117E,Static Diesel Engines,2
07075013.wav,"Worthington Simpson pumping engine, constant run. (1929)",193,Pumps: Diesel,EC117E,Static Diesel Engines,1
07075012.wav,Lathe shop atmosphere,247,Industry: Lathes: Metal,EC57N,Metal Lathes,5
07075011.wav,"Lathe switched on, Grinding Tool, slows down, stops.",129,Industry: Lathes: Metal,EC57N,Metal Lathes,4
07075010.wav,"Lathe switched on, turns steel, slows down, stops.",161,Industry: Lathes: Metal,EC57N,Metal Lathes,3
07075009.wav,"Lathe switched on, turns aluminium with occasional pauses.",148,Industry: Lathes: Metal,EC57N,Metal Lathes,2
07075008.wav,"Lathe switched on, turns brass, slows down, stops.",93,Industry: Lathes: Metal,EC57N,Metal Lathes,1
07075007.wav,Applause and whistles.,25,Sports: Boxing: Professional,EC96D,Professional Boxing,7
07075006.wav,"Announcement for retirement, applause.",43,Sports: Boxing: Professional,EC96D,Professional Boxing,6
07075005.wav,Medium applause into atmosphere at a boxing match.,32,Sports: Boxing: Professional,EC96D,Professional Boxing,5
07075004.wav,"Seconds out announcement, round five, bell, atmosphere into next round.",179,Sports: Boxing: Professional,EC96D,Professional Boxing,4
07075003.wav,"End of round, bell and applause.",19,Sports: Boxing: Professional,EC96D,Professional Boxing,3
07075002.wav,Rowdy crowd at boxing match with occasional booing.,184,Sports: Boxing: Professional,EC96D,Professional Boxing,2
07075001.wav,Last round of a big fight.,202,Sports: Boxing: Professional,EC96D,Professional Boxing,1
07074235.wav,"Electronic - bleeps and printer on cash register (background voices - 1982 (2R1,reprocessed)",21,Cash Registers,ECD085,Interiors - Shops and Cash Registers,47
07074234.wav,"Electronic - light-pen scanner on cash register - 1982 (2R1,reprocessed)",8,Cash Registers,ECD085,Interiors - Shops and Cash Registers,46
07074233.wav,"Electronic - bleeps on cash register - 1982 (2R1,reprocessed)",24,Cash Registers,ECD085,Interiors - Shops and Cash Registers,45
