location,description,secs,category,CDNumber,CDName,tracknum,clusterLabel,clusterName,FrequencyCutoff,FrequencyCutoff90,FrequencyCutoff95,FrequencyCutoff99
07036171.wav,"Domestic Mantle Clock striking ten o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",64,,EC209B,Domestic Clock,1,3.0,clock,12230.859375,8225.68359375,9560.7421875,12230.859375
07036172.wav,"Domestic Mantle Clock striking eleven o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",65,,EC209B,Domestic Clock,2,3.0,clock,12273.92578125,8570.21484375,9560.7421875,12273.92578125
07036173.wav,"Domestic Mantle Clock striking twelve o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",69,,EC209B,Domestic Clock,3,3.0,clock,11498.73046875,8225.68359375,9474.609375,11498.73046875
07036175.wav,"Domestic Mantle Clock striking half past the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",21,,EC209B,Domestic Clock,5,3.0,clock,12790.72265625,9259.27734375,10120.60546875,12790.72265625
07036174.wav,"Domestic Mantle Clock striking quarter past the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",18,,EC209B,Domestic Clock,4,3.0,clock,11714.0625,8699.4140625,10120.60546875,11714.0625
07036176.wav,"Domestic Mantle Clock striking quarter to the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",24,,EC209B,Domestic Clock,6,3.0,clock,12316.9921875,10077.5390625,10163.671875,12316.9921875
07036177.wav,"Domestic Mantle Clock striking one o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",40,,EC209B,Domestic Clock,7,3.0,clock,11714.0625,8699.4140625,10120.60546875,11714.0625
07036178.wav,"Domestic Mantle Clock striking two o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",45,,EC209B,Domestic Clock,8,3.0,clock,11714.0625,8699.4140625,10120.60546875,11714.0625
07036179.wav,"Domestic Mantle Clock striking three o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",45,,EC209B,Domestic Clock,9,3.0,clock,11714.0625,8699.4140625,10120.60546875,11714.0625
07036187.wav,"Domestic Mantle Clock striking eleven o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",62,,EC209C,Domestic Clock,5,3.0,clock,12833.7890625,9173.14453125,10120.60546875,12833.7890625
