location,description,secs,category,CDNumber,CDName,tracknum,clusterLabel,clusterName
07036171.wav,"Domestic Mantle Clock striking ten o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",64,,EC209B,Domestic Clock,1,3.0,clock
07036172.wav,"Domestic Mantle Clock striking eleven o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",65,,EC209B,Domestic Clock,2,3.0,clock
07036173.wav,"Domestic Mantle Clock striking twelve o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",69,,EC209B,Domestic Clock,3,3.0,clock
07036175.wav,"Domestic Mantle Clock striking half past the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",21,,EC209B,Domestic Clock,5,3.0,clock
07036174.wav,"Domestic Mantle Clock striking quarter past the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",18,,EC209B,Domestic Clock,4,3.0,clock
07036176.wav,"Domestic Mantle Clock striking quarter to the hour. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",24,,EC209B,Domestic Clock,6,3.0,clock
07036177.wav,"Domestic Mantle Clock striking one o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",40,,EC209B,Domestic Clock,7,3.0,clock
07036178.wav,"Domestic Mantle Clock striking two o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",45,,EC209B,Domestic Clock,8,3.0,clock
07036179.wav,"Domestic Mantle Clock striking three o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",45,,EC209B,Domestic Clock,9,3.0,clock
07036187.wav,"Domestic Mantle Clock striking eleven o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",62,,EC209C,Domestic Clock,5,3.0,clock
07036181.wav,"Domestic Mantle Clock striking five o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",51,,EC209B,Domestic Clock,11,3.0,clock
07016184.wav,Trinity & St John's College clock striking two o'clock. (Trinity clock strikes a second time for St. John's College.),35,,EC36T,"Trinity & St. John’S College Clock, Cambridge",2,3.0,clock
07016185.wav,Trinity & St John's College clock striking three o'clock. (Trinity clock strikes a second time for St. John's College.),36,,EC36T,"Trinity & St. John’S College Clock, Cambridge",3,3.0,clock
07036203.wav,"Grandfather Clock with St Michael's chimes, striking twelve o'clock.",66,,EC209D,Domestic Clock,9,3.0,clock
07036202.wav,"Grandfather Clock with St Michael's chimes, striking eleven o'clock.",61,,EC209D,Domestic Clock,8,3.0,clock
07036201.wav,"Grandfather Clock with St Michael's chimes, striking ten o'clock.",59,,EC209D,Domestic Clock,7,3.0,clock
07036200.wav,"Grandfather Clock with St Michael's chimes, striking nine o'clock.",57,,EC209D,Domestic Clock,6,3.0,clock
07036199.wav,"Grandfather Clock with St Michael's chimes, striking eight o'clock.",54,,EC209D,Domestic Clock,5,3.0,clock
07036198.wav,"Grandfather Clock with St Michael's chimes, striking seven o'clock.",50,,EC209D,Domestic Clock,4,3.0,clock
07036197.wav,"Grandfather Clock with St Michael's chimes, striking six o'clock.",48,,EC209D,Domestic Clock,3,3.0,clock
07036196.wav,"Grandfather Clock with St Michael's chimes, striking five o'clock.",45,,EC209D,Domestic Clock,2,3.0,clock
07036195.wav,"Grandfather Clock with St Michael's chimes, striking four o'clock.",42,,EC209D,Domestic Clock,1,3.0,clock
07036180.wav,"Domestic Mantle Clock striking four o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",47,,EC209B,Domestic Clock,10,3.0,clock
07036194.wav,"Grandfather Clock with St Michael's chimes, striking three o'clock.",39,,EC209C,Domestic Clock,12,3.0,clock
07036192.wav,"Grandfather Clock with St Michael's chimes, striking one o'clock.",34,,EC209C,Domestic Clock,10,3.0,clock
07036191.wav,"Grandfather Clock with St Michael's chimes, striking quarter to the hour.",30,,EC209C,Domestic Clock,9,3.0,clock
07036190.wav,"Grandfather Clock with St Michael's chimes, striking half past the hour.",21,,EC209C,Domestic Clock,8,3.0,clock
07036189.wav,"Grandfather Clock with St Michael's chimes, striking quarter past the hour.",16,,EC209C,Domestic Clock,7,3.0,clock
07036188.wav,"Domestic Mantle Clock striking twelve o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",64,,EC209C,Domestic Clock,6,3.0,clock
07036170.wav,"Domestic Mantle Clock striking nine o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",60,,EC209A,Domestic Clock,12,3.0,clock
07036186.wav,"Domestic Mantle Clock striking ten o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",62,,EC209C,Domestic Clock,4,3.0,clock
07036185.wav,"Domestic Mantle Clock striking nine o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",58,,EC209C,Domestic Clock,3,3.0,clock
07036184.wav,"Domestic Mantle Clock striking eight o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",56,,EC209C,Domestic Clock,2,3.0,clock
07036183.wav,"Domestic Mantle Clock striking seven o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",52,,EC209C,Domestic Clock,1,3.0,clock
07036182.wav,"Domestic Mantle Clock striking six o'clock. (Early 19th Century clock chimes 'B', 8 bells, 1 gong.)",54,,EC209B,Domestic Clock,12,3.0,clock
07036193.wav,"Grandfather Clock with St Michael's chimes, striking two o'clock.",40,,EC209C,Domestic Clock,11,3.0,clock
07036169.wav,"Domestic Mantle Clock striking eight o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",56,,EC209A,Domestic Clock,11,3.0,clock
07022176.wav,"Grandfather clock striking ten o'clock. (Bell type Grandfather clock with Whittington chimes, manufactured in London 1845.)",47,,EC48R,"Grandfather Clock: Bell Type (London, 1845)",4,3.0,clock
07036167.wav,"Domestic Mantle Clock striking six o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",52,,EC209A,Domestic Clock,9,3.0,clock
07049101.wav,"St. Marie Church bells, church clock strikes 12",36,Churches: Bells: France,ECD050,France - Paris,10,3.0,clock
07022062.wav,Domestic clock striking eleven o'clock. (Mid-perspective recording of domestic clock with bell.),28,,EC48F,Domestic Clock (Bell: Mid-Perspective),2,3.0,clock
07016198.wav,Balliol College clock striking four o'clock.,21,,EC36U,"Balliol College Clock, Oxford",4,3.0,clock
07016199.wav,Balliol College clock striking five o'clock.,24,,EC36U,"Balliol College Clock, Oxford",5,3.0,clock
07016200.wav,Balliol College clock striking six o'clock.,25,,EC36U,"Balliol College Clock, Oxford",6,3.0,clock
07022063.wav,Domestic clock striking twelve o'clock. (Mid-perspective recording of domestic clock with bell.),30,,EC48F,Domestic Clock (Bell: Mid-Perspective),3,3.0,clock
07016201.wav,Balliol College clock striking seven o'clock.,27,,EC36U,"Balliol College Clock, Oxford",7,3.0,clock
07016202.wav,Balliol College clock striking eight o'clock.,29,,EC36U,"Balliol College Clock, Oxford",8,3.0,clock
07016203.wav,Balliol College clock striking nine o'clock.,30,,EC36U,"Balliol College Clock, Oxford",9,3.0,clock
07016204.wav,Balliol College clock striking ten o'clock.,34,,EC36U,"Balliol College Clock, Oxford",10,3.0,clock
07016205.wav,Balliol College clock striking eleven o'clock.,36,,EC36U,"Balliol College Clock, Oxford",11,3.0,clock
07016206.wav,Balliol College clock striking twelve o'clock.,38,,EC36U,"Balliol College Clock, Oxford",12,3.0,clock
07016207.wav,New College clock striking quarter past the hour.,19,,EC36V,"New College Clock, Oxford",1,3.0,clock
07016208.wav,New College clock striking half past the hour.,22,,EC36V,"New College Clock, Oxford",2,3.0,clock
07016209.wav,New College clock striking quarter to the hour.,25,,EC36V,"New College Clock, Oxford",3,3.0,clock
07016210.wav,New College clock striking one o'clock.,35,,EC36V,"New College Clock, Oxford",4,3.0,clock
07016211.wav,New College clock striking two o'clock.,41,,EC36V,"New College Clock, Oxford",5,3.0,clock
07016212.wav,New College clock striking three o'clock.,43,,EC36V,"New College Clock, Oxford",6,3.0,clock
07016213.wav,New College clock striking four o'clock.,45,,EC36V,"New College Clock, Oxford",7,3.0,clock
07016214.wav,New College clock striking five o'clock.,47,,EC36V,"New College Clock, Oxford",8,3.0,clock
07016215.wav,New College clock striking six o'clock.,49,,EC36V,"New College Clock, Oxford",9,3.0,clock
07016216.wav,New College clock striking seven o'clock.,52,,EC36V,"New College Clock, Oxford",10,3.0,clock
07016217.wav,New College clock striking eight o'clock.,54,,EC36V,"New College Clock, Oxford",11,3.0,clock
07022061.wav,Domestic clock striking ten o'clock. (Mid-perspective recording of domestic clock with bell.),27,,EC48F,Domestic Clock (Bell: Mid-Perspective),1,3.0,clock
07036168.wav,"Domestic Mantle Clock striking seven o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",56,,EC209A,Domestic Clock,10,3.0,clock
07022060.wav,Domestic clock striking nine o'clock. (Domestic clock with bell.),22,,EC48E,Domestic Clock (Bell),12,3.0,clock
07016196.wav,Balliol College clock striking two o'clock.,16,,EC36U,"Balliol College Clock, Oxford",2,3.0,clock
07036166.wav,"Domestic Mantle Clock striking five o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",50,,EC209A,Domestic Clock,8,3.0,clock
07036165.wav,"Domestic Mantle Clock striking four o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",47,,EC209A,Domestic Clock,7,3.0,clock
07036164.wav,"Domestic Mantle Clock striking three o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",43,,EC209A,Domestic Clock,6,3.0,clock
07036163.wav,"Domestic Mantle Clock striking two o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",42,,EC209A,Domestic Clock,5,3.0,clock
07036162.wav,"Domestic Mantle Clock striking one o'clock. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",43,,EC209A,Domestic Clock,4,3.0,clock
07036161.wav,"Domestic Mantle Clock striking quarter to the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",23,,EC209A,Domestic Clock,3,3.0,clock
07036160.wav,"Domestic Mantle Clock striking half past the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",19,,EC209A,Domestic Clock,2,3.0,clock
07016186.wav,Trinity & St John's College clock striking four o'clock. (Trinity clock strikes a second time for St. John's College.),40,,EC36T,"Trinity & St. John’S College Clock, Cambridge",4,3.0,clock
07036159.wav,"Domestic Mantle Clock striking quarter past the hour. (Early 19th Century clock chimes 'A', 8 bells, 1 gong.)",16,,EC209A,Domestic Clock,1,3.0,clock
07016183.wav,Trinity & St John's College clock striking one o'clock. (Trinity clock strikes a second time for St. John's College.),30,,EC36T,"Trinity & St. John’S College Clock, Cambridge",1,3.0,clock
07022056.wav,Domestic clock striking five o'clock. (Domestic clock with bell.),17,,EC48E,Domestic Clock (Bell),8,3.0,clock
07022057.wav,Domestic clock striking six o'clock. (Domestic clock with bell.),17,,EC48E,Domestic Clock (Bell),9,3.0,clock
07022058.wav,Domestic clock striking seven o'clock. (Domestic clock with bell.),20,,EC48E,Domestic Clock (Bell),10,3.0,clock
07016187.wav,Trinity & St John's College clock striking five o'clock. (Trinity clock strikes a second time for St. John's College.),44,,EC36T,"Trinity & St. John’S College Clock, Cambridge",5,3.0,clock
07016188.wav,Trinity & St John's College clock striking six o'clock. (Trinity clock strikes a second time for St. John's College.),45,,EC36T,"Trinity & St. John’S College Clock, Cambridge",6,3.0,clock
07016189.wav,Trinity & St John's College clock striking seven o'clock. (Trinity clock strikes a second time for St. John's College.),49,,EC36T,"Trinity & St. John’S College Clock, Cambridge",7,3.0,clock
07016190.wav,Trinity & St John's College clock striking eight o'clock. (Trinity clock strikes a second time for St. John's College.),51,,EC36T,"Trinity & St. John’S College Clock, Cambridge",8,3.0,clock
07016191.wav,Trinity & St John's College clock striking nine o'clock. (Trinity clock strikes a second time for St. John's College.),55,,EC36T,"Trinity & St. John’S College Clock, Cambridge",9,3.0,clock
07016192.wav,Trinity & St John's College clock striking ten o'clock. (Trinity clock strikes a second time for St. John's College.),57,,EC36T,"Trinity & St. John’S College Clock, Cambridge",10,3.0,clock
07016193.wav,Trinity & St John's College clock striking eleven o'clock. (Trinity clock strikes a second time for St. John's College.),61,,EC36T,"Trinity & St. John’S College Clock, Cambridge",11,3.0,clock
07016194.wav,Trinity & St John's College clock striking twelve o'clock. (Trinity clock strikes a second time for St. John's College.),65,,EC36T,"Trinity & St. John’S College Clock, Cambridge",12,3.0,clock
07016195.wav,Balliol College clock striking one o'clock.,14,,EC36U,"Balliol College Clock, Oxford",1,3.0,clock
07022059.wav,Domestic clock striking eight o'clock. (Domestic clock with bell.),21,,EC48E,Domestic Clock (Bell),11,3.0,clock
07016197.wav,Balliol College clock striking three o'clock.,20,,EC36U,"Balliol College Clock, Oxford",3,3.0,clock
07016182.wav,Trinity & St John's College clock striking quarter to the hour. (Trinity clock strikes a second time for St. John's College.),21,,EC36S,Cambridge Clocks,12,3.0,clock
07016174.wav,Caius College clock striking seven o'clock.,40,,EC36S,Cambridge Clocks,4,3.0,clock
07016180.wav,Trinity & St John's College clock striking quarter past the hour. (Trinity clock strikes a second time for St. John's College.),20,,EC36S,Cambridge Clocks,10,3.0,clock
07002243.wav,Osterley House Clock striking 5 o'clock,18,,EC105T,Osterley House Clock,5,3.0,clock
